id,email,email2,id2,sentiment,date
50,6,66,60,427,1923-04-28
75,58,82,92,46,1999-10-18
11,34,25,47,150,1975-06-15
62,100,25,64,312,1930-04-16
18,51,42,84,17,2013-02-21
38,73,83,50,160,1994-07-12
93,78,4,62,881,1977-12-25
53,40,18,13,333,1977-05-22
89,10,61,17,6,1970-01-07
47,15,3,77,548,1950-03-23
26,71,51,93,686,1928-11-18
20,61,60,1,944,2005-05-13
92,73,66,100,900,1913-09-08
79,96,26,15,67,1968-07-01
4,17,24,1,348,2017-12-12
39,12,61,95,436,1990-11-13
38,70,19,90,280,1994-03-24
42,13,53,3,410,1937-07-25
93,4,59,24,103,1961-04-08
44,68,90,54,995,2019-12-09
74,88,78,100,313,1965-07-26
81,32,79,12,851,1944-09-21
2,57,87,83,586,1952-06-12
91,5,88,80,631,1993-08-07
10,38,30,69,33,1928-09-25
7,37,20,1,106,2009-01-15
65,38,92,79,392,1957-03-05
55,82,91,49,599,2017-03-07
26,43,44,83,300,1944-08-17
53,68,37,79,86,1937-04-24
23,50,8,24,914,1964-07-01
14,66,54,71,516,1911-05-28
61,92,35,54,331,1900-11-27
37,55,63,6,728,1920-04-21
19,91,21,40,176,1974-02-09
40,86,54,81,121,1936-01-31
34,70,60,81,258,1925-08-09
82,49,89,54,835,1968-08-03
68,42,12,37,623,1971-01-13
65,51,37,6,481,1922-07-23
26,73,74,2,655,1951-09-22
14,2,62,21,398,1930-03-10
2,52,13,69,736,1980-05-03
98,42,71,22,485,1986-10-08
30,62,44,82,254,1998-08-22
41,55,39,41,973,1940-11-18
33,35,3,86,938,1922-06-14
86,44,99,50,134,1921-05-20
52,61,33,46,630,1948-10-18
8,78,71,60,452,2013-10-19
35,24,34,43,72,1999-10-26
42,21,45,94,475,2011-06-17
39,16,70,29,383,1991-10-14
96,46,79,53,280,2001-04-23
77,88,72,61,283,2013-04-08
48,37,56,79,918,1938-12-07
93,92,79,92,569,1939-04-02
15,29,49,68,436,1928-08-31
76,91,61,66,971,2015-03-16
15,9,32,99,760,1997-12-31
64,25,91,5,719,1953-09-19
52,84,28,23,793,1922-04-17
21,11,35,14,935,1989-03-28
50,18,17,45,30,1979-01-26
26,97,45,57,454,1921-08-12
19,15,67,7,431,1995-09-29
82,54,94,62,949,1933-11-02
30,62,53,13,537,1952-10-15
43,1,62,54,125,1954-07-22
81,14,58,71,660,1935-11-16
83,19,11,5,38,2007-11-04
56,26,4,41,507,2002-11-29
49,9,46,78,829,1907-10-03
38,12,16,56,698,2016-05-14
4,38,23,8,466,1942-09-17
46,92,72,18,310,1975-12-02
83,49,61,87,991,1998-10-23
98,38,25,96,199,1931-03-10
29,49,44,85,759,1925-10-03
21,48,49,93,143,2001-06-30
8,54,48,30,494,1901-10-08
26,3,48,17,7,1956-04-14
67,66,7,11,333,1939-04-03
16,23,75,38,392,1905-05-30
9,55,19,82,692,2008-12-08
75,73,15,65,40,1975-04-01
70,9,39,75,374,1985-02-27
99,19,53,74,420,1984-11-14
37,70,92,13,852,1967-02-17
16,64,76,18,919,1972-01-16
95,4,38,70,558,1917-03-14
54,19,72,75,185,1943-04-07
23,43,97,59,229,1933-10-23
98,83,48,87,415,1934-02-12
82,79,58,46,687,1924-07-07
70,24,96,35,708,1924-11-30
64,65,9,51,602,2005-03-22
46,100,49,16,142,1902-01-03
36,78,83,79,735,1994-05-17
98,60,65,61,14,1963-05-21
51,97,26,95,624,1995-03-10
98,85,24,43,40,1947-04-04
22,47,93,88,180,2002-07-22
64,46,47,34,566,1944-12-10
43,86,36,92,10,2014-10-13
14,95,82,56,443,1937-02-26
50,85,54,21,135,1903-01-30
98,79,32,51,795,1902-01-15
97,12,79,31,99,2018-11-14
80,12,10,9,662,1999-01-23
98,67,98,59,621,1960-04-11
87,41,88,58,615,1986-11-10
34,19,49,14,468,1950-02-06
17,12,15,37,150,1992-09-09
67,82,58,5,395,1901-09-11
63,2,31,49,633,1919-11-26
76,26,60,52,676,1911-12-17
41,22,92,75,495,1999-01-08
72,95,88,31,664,1947-06-09
97,99,84,93,478,2001-06-26
22,9,43,82,719,1985-08-03
92,2,63,30,65,1956-11-11
6,87,1,47,453,1907-07-21
52,60,80,7,762,1907-03-20
99,34,36,69,792,1937-07-19
90,27,14,100,923,1912-03-24
8,27,45,100,352,1943-09-14
40,11,34,75,54,1928-07-10
74,53,75,57,780,1930-11-17
56,46,49,20,986,2008-05-15
75,70,93,27,494,1935-07-05
35,64,37,97,510,1943-01-09
40,44,46,25,15,1995-01-05
93,50,84,94,51,2012-04-05
89,73,56,94,577,1941-05-21
30,56,95,88,344,1933-11-19
50,95,88,42,945,1996-09-17
80,86,18,78,901,1923-03-25
28,99,45,71,903,1957-12-05
45,22,73,9,18,1988-03-20
80,8,65,76,186,1900-12-08
61,17,7,32,882,1978-12-07
54,16,73,30,156,1946-11-25
68,73,14,30,101,1978-07-12
52,52,7,14,322,2013-02-08
94,36,74,99,79,1956-11-02
90,89,69,19,912,1995-11-03
68,100,60,76,218,1923-12-04
